Name,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
CoCoCo,140.0079687,1.05824,0.99065,0.97198,-0.94858,0.74422,2.7018,2.5973,2.5912,0.50711,0.3512,-3.18718,-2.794,-3.02701,-3.49904,-2.29814,3.844328,0.673311,0.673311,1.997296845,1.942099539,1.84047194,85.31380846,125.3049937,108.4241247,-39.39193891,9,9,9
CoCoCu,179.8079263,1.0634,1.04156,0.82403,-0.88954,0.76952,2.714,2.6558,0.4027,0.60523,0.3867,-3.22696,-2.87157,-2.30783,-3.40096,-2.22755,3.931388,0.625906,0.625906,1.957071781,1.867134341,1.943639856,89.00835388,130.9751723,115.4713167,-32.02447769,9,9,11
CoCoFe,149.898228,0.66683,0.75997,1.00239,-0.74742,0.60971,-0.9181,1.4431,3.6932,0.27926,0.1009,-2.00611,-2.58887,-4.26807,-3.83071,-1.76086,1.255263,0.719521,0.719521,1.954359636,1.947050961,1.841107343,86.38195085,94.08728413,85.16361859,-54.06263644,9,9,8
CoCoMn,177.2664421,1.065,1.03384,1.11405,-1.02985,0.72257,2.713,2.6322,4.70841,0.43316,0.3376,-3.22988,-2.77676,-2.91779,-3.41047,-2.04903,3.40717,0.620363,0.620363,1.984109379,1.905243887,1.952899962,88.92908029,140.7086266,123.2383572,-18.00365367,9,9,7
CoCoNi,161.2272613,1.0221,0.84005,0.81348,-0.74543,0.68596,2.6473,1.3506,1.3661,0.46324,0.319,-2.97152,-2.35106,-2.16922,-3.99329,-2.197,1.637951,0.586466,0.586466,2.042345143,1.805011835,1.930130838,91.33681814,132.0247935,121.8139575,-27.42668756,9,9,10
CoCoZn,138.3617801,1.07424,1.01946,1.18511,-1.06389,0.71354,2.7128,2.6083,0.0031,0.31733,0.3142,-3.23634,-2.76236,-6.72283,-3.3507,-2.18146,3.43801,0.593432,0.593432,1.973632709,1.90683827,1.877602815,88.32682181,132.1654382,114.9194011,-31.62773986,9,9,12
CoCuCo,155.7189619,1.02852,0.8688,1.01062,-0.89283,0.749,2.6661,0.4762,2.6336,0.55816,0.3968,-2.98715,-2.59728,-3.21377,-3.54709,-2.50583,3.749353,0.612567,0.612567,1.923207833,1.998420149,1.850941305,84.50838922,124.6481052,103.6060068,-39.06115996,9,11,9
CoCuCu,169.7155035,1.04838,0.91165,0.84523,-0.82384,0.76711,2.7034,0.5333,0.4321,0.66964,0.4165,-3.11695,-2.7454,-2.43754,-3.41048,-2.35465,3.901727,0.597208,0.597208,1.851321313,2.008102096,1.947641513,86.69496659,124.8485922,107.5245333,-37.18246907,9,11,11
CoCuFe,179.7580417,1.03444,0.93239,1.02677,-0.91003,0.67636,2.6612,-0.5704,3.6522,0.24923,0.302,-2.93058,-3.2353,-3.90731,-3.47365,-2.26567,0.852681,0.783572,0.783572,2.066067958,1.947488662,1.82143075,86.46643743,122.6484363,109.3874495,-41.28417232,9,11,8
CoCuMn,136.0460889,1.00984,0.88708,1.13535,-0.97052,0.76694,2.6438,0.5077,4.70728,0.43282,-0.3931,-2.99509,-2.70003,-2.80418,-3.23512,-2.67933,0.831377,0.687127,0.687127,1.8922864,1.978692098,1.959475893,85.92345568,126.4296731,107.886957,-36.95831962,9,11,7
