Name,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
CoCoMn-Fe,171.2671741,0.88254,0.85157,1.16949,-0.9868,0.92724,2.5021,2.4518,4.73285,0.39623,3.7156,-2.71708,-2.64895,-3.27032,-4.218,-4.10501,3.541642,0.907433,0.907433,2.022274927,2.0095946,1.995692847,77.30543827,166.0763174,109.227247,-10.01726044,9,9,7
CoNiNi-Mn,134.0270793,0.88874,0.99456,0.94543,-0.95843,0.90043,-0.9107,1.6593,1.5634,0.27985,4.58007,-1.99143,-2.88284,-3.21141,-3.73554,-2.81407,1.801207,1.039399,1.039399,2.049660524,2.008221426,1.829451639,87.58250615,143.5467169,116.3226848,-21.31263823,9,10,10
CoCuCo-Ni,162.1251824,1.00265,0.86377,0.93771,-0.8426,0.74881,2.6524,0.4738,2.5911,0.57673,1.3972,-3.00191,-2.61536,-3.16426,-3.31938,-2.44485,3.49267,0.874953,0.874953,2.017316093,1.98393874,1.818098346,84.05758627,106.197254,99.46157572,-51.86978971,9,11,9
CoZnFe-Ni,155.1177224,1.03994,1.21464,1.02461,-0.98243,0.71725,2.642,-0.0079,3.6879,0.43394,1.3458,-2.82402,-6.68523,-4.17313,-3.5932,-2.2903,3.158195,0.925801,0.925801,2.057563137,1.981655001,1.801809007,85.74504858,117.0182794,107.0077187,-45.40940714,9,12,8
CuZnNi-Co,160.6391493,0.80748,1.21387,1.00244,-1.08673,0.95167,0.3062,-0.0057,1.589,0.30537,2.693,-1.67976,-6.22482,-3.14281,-3.33364,-3.30511,3.773811,0.562102,0.562102,2.669221682,1.947467596,1.937040365,71.82694226,166.5414941,120.1365749,-6.234944336,11,12,10
CuCoMn-Fe,175.7095204,0.65259,0.98892,1.16156,-0.99272,1.09999,0.1997,2.6173,4.74478,0.46335,3.8886,-1.50284,-2.78436,-2.99678,-3.54433,-4.35212,3.490598,1.16762,1.16762,3.023384963,1.908926508,1.984109521,60.07886542,161.6685144,129.6575507,-19.51726409,11,9,7
CuFeZn-Fe,165.4123087,0.64051,1.04372,1.23347,-0.98394,0.96032,0.1815,3.7248,0.0171,0.36089,3.7525,-1.54261,-4.00695,-6.94825,-3.53591,-3.94503,3.24314,1.166562,1.166562,3.206818362,1.882898195,1.944186692,54.96041955,148.0873548,118.9454535,-41.16739724,11,8,12
CuFeNi-Mn,186.7313703,0.77633,1.07584,0.77164,-0.84631,0.895,-0.0951,3.7896,1.3352,0.52637,3.9613,-1.82549,-4.46672,-2.33386,-3.56623,-3.43464,0.352487,0.726699,0.352487,2.092642968,1.834319436,1.921275246,84.45012045,122.357563,96.204572,-42.58242649,11,8,10
CuCuZn-Ni,156.690397,0.89456,0.90613,1.17819,-0.9886,0.82349,0.5444,0.5361,0.0008,0.30176,1.4691,-2.32896,-2.62229,-6.01243,-2.54711,-2.31189,3.643153,1.337809,1.337809,1.984473049,1.96660054,1.861406017,83.01177225,109.0778822,100.4141161,-50.27266638,11,11,12
CuZnNi-Ni,122.6035279,0.92179,1.24561,0.97276,-1.06113,0.88686,0.5013,-0.0037,1.5639,0.34747,1.5926,-2.31344,-5.96541,-2.8488,-3.26852,-2.25834,3.540362,0.728071,0.728071,2.144764675,1.942085198,1.907336781,87.84640949,136.0570525,133.9086896,12.25424189,11,12,10
CuZnNi-Zn,139.4828687,0.96954,1.19517,1.02312,-1.14903,1.17119,0.5719,-0.0044,1.5927,0.20026,-0.0083,-2.2924,-4.67591,-2.36031,-2.53034,-5.20173,4.184473,0.966374,0.966374,2.153029572,1.997046631,1.919199838,87.15106139,151.4621457,120.9222156,4.175196868,11,12,10
FeCuMn-Co,177.0590275,1.0926,0.6266,1.12196,-0.94822,0.84192,3.8251,0.1818,4.68516,0.4352,2.5795,-4.61261,-1.58212,-2.9764,-4.07476,-3.18269,3.439657,0.838535,0.838535,1.914644645,2.124364105,2.027271078,77.85908288,160.141709,86.78235526,-9.291709509,8,11,7
FeFeCo-Mn,144.098498,0.9984,1.01307,0.79748,-0.85714,0.8997,3.699,3.6786,2.4673,0.49621,4.52775,-3.86921,-3.86174,-2.96035,-3.65068,-2.6395,3.124193,1.010321,1.010321,1.997022971,1.98740171,1.845074625,76.6271063,97.30740071,91.4724932,-58.01218257,8,8,9
FeNiCu-Mn,127.3661853,1.17786,0.9938,0.66144,-0.90067,0.92748,3.8825,-1.5825,0.1894,0.42193,4.60691,-4.57584,-2.79189,-1.62528,-3.69526,-2.88037,1.555174,0.873348,0.873348,1.859947161,2.017814552,2.166951242,89.97856257,141.294592,121.998805,-16.30680029,8,10,11
FeCuZn-Ni,149.4387654,1.19884,0.57237,1.1419,-0.99243,0.90495,3.949,0.0456,0.0135,0.21829,1.5662,-4.16139,-1.31607,-6.37886,-3.36806,-2.60618,3.392462,1.002474,1.002474,1.921765639,1.899107826,1.881029282,97.34514327,118.4211242,86.51011247,-37.66543364,8,11,12
FeZnCo-Zn,168.6101679,1.07194,1.20929,0.91892,-1.1099,1.19211,3.7476,0.0077,2.4647,0.27816,0.0039,-4.01495,-6.73742,-2.96276,-4.32514,-6.96182,3.683696,0.681946,0.681946,2.067997763,2.00462402,1.919479464,85.45809222,155.4119405,115.9742712,9.531212242,8,12,9
MnCoMn-Co,220.3535258,1.04399,0.97743,1.16022,-1.02137,0.94083,4.61864,-2.5433,4.68762,-0.04311,-2.5572,-3.11098,-3.04887,-3.5107,-4.2712,-2.76098,0.964805,1.680642,0.964805,2.144534777,1.918248639,1.953737407,83.13801444,167.3544616,109.4480062,-0.995151696,7,9,7
MnCuZn-Co,170.6738111,1.05583,0.81023,1.21969,-1.06149,1.02942,4.65346,0.3798,0.0067,0.29187,2.7674,-2.45882,-1.80457,-6.85066,-3.58446,-3.30731,2.995862,0.38542,0.38542,2.114671536,2.085999579,1.905110969,84.24502926,171.1428156,103.1096017,3.753516585,7,11,12
MnCoNi-Fe,160.4921213,1.1428,1.06979,0.74047,-0.99837,1.0052,4.70297,2.6724,1.2668,0.46964,3.7961,-2.54084,-2.8284,-1.71504,-3.88808,-4.10948,3.41414,1.244566,1.244566,2.083626358,1.934051125,1.968357552,93.11625943,148.4856147,118.3517897,-1.301852233,7,9,10
MnCoCo-Mn,138.6847166,1.09239,0.99541,0.98992,-1.01361,1.07439,4.64782,-2.6028,-2.5224,-0.09227,4.64702,-2.69813,-2.833,-2.96892,-3.99987,-2.64121,1.301121,4.153448,1.301121,2.078509308,2.079557424,1.884857893,87.22381424,161.8821516,107.174356,8.200878679,7,9,9
MnCuCo-Ni,179.9470778,0.94065,0.70417,0.87914,-0.78048,0.73063,3.5944,0.279,2.5241,0.41721,1.3713,-3.5912,-1.929,-3.24491,-3.7856,-2.58336,1.458151,0.530557,0.530557,1.929982673,2.062002928,1.826327331,79.66175631,108.2304042,85.22045878,-47.43909106,7,11,9
MnCoFe-Zn,197.6797061,1.09811,1.00372,1.03995,-1.08129,1.18702,4.68691,2.6584,3.6108,0.30629,0.0173,-2.65646,-2.88954,-3.61494,-3.79432,-6.44452,3.363345,1.591446,1.591446,2.103092372,2.099331047,1.884061863,87.28514793,164.4643772,106.382132,5.504569987,7,9,8
NiNiZn-Co,173.8506663,1.0287,1.06199,1.21085,-1.09028,0.8751,1.6136,1.6436,0.0045,0.29887,2.5754,-3.05459,-3.28946,-7.43851,-4.15223,-2.82381,3.106649,0.803269,0.803269,1.977532972,1.943339007,1.90601914,92.19374531,146.4914706,121.2431395,1.679933611,10,10,12
NiZnFe-Fe,149.5569129,1.03008,1.23407,0.92138,-1.06676,0.95124,1.6125,-0.0035,3.4938,0.35591,3.6738,-3.50939,-7.43417,-3.71595,-4.74911,-3.90148,3.480279,0.434356,0.434356,2.003365807,1.978978209,1.928380816,88.8329791,152.0610456,119.0947712,-0.614625654,10,12,8
NiCoZn-Mn,169.476583,1.03202,1.05068,1.21523,-1.10459,0.978,1.6554,2.6545,0.025,0.28072,4.64244,-3.34362,-3.18778,-7.57319,-4.34456,-2.59036,2.262716,1.437638,1.437638,2.000162578,1.944185319,1.916642747,88.81895997,151.7005831,119.393246,1.736376711,10,9,12
NiZnZn-Ni,165.2889101,1.04601,1.21098,1.21641,-1.14126,0.97689,1.6338,-0.0026,0.0016,0.24173,1.6104,-2.085,-4.73506,-5.98967,-3.00175,-2.09504,3.734583,2.208987,2.208987,1.979746993,2.006608894,1.90587197,90.74064276,135.4618345,128.2669297,17.3639051,10,12,12
NiFeCu-Zn,151.5732971,1.01725,1.2718,0.65513,-1.04126,1.17224,1.6222,4.0065,0.065,0.40127,-0.0003,-2.93837,-4.64599,-1.36773,-3.89977,-6.52,2.956037,0.974004,0.974004,1.998997604,1.898229117,2.092395207,92.90804014,136.391682,127.5129912,13.03351903,10,8,11
ZnCoZn-Co,152.8886727,1.19949,0.7524,1.21518,-1.06354,0.90135,-0.0023,0.9698,-0.0052,0.05293,2.5871,-6.8445,-1.75526,-6.9922,-3.94495,-2.79536,1.770749,1.44992,1.44992,1.989612798,1.967916823,1.897571231,84.53368136,159.6144795,109.2877075,-11.50464868,12,9,12
ZnCoMn-Fe,156.9083135,1.19199,1.00296,1.09869,-1.07303,0.94274,0.0018,-2.5936,4.60273,-0.05948,3.6033,-6.50872,-2.86651,-2.75893,-3.54375,-3.48504,1.430394,1.789403,1.430394,1.966103023,1.920737876,1.919699587,86.00789937,133.0425229,106.5159429,-33.25894595,12,9,7
ZnNiFe-Fe,157.4964256,1.22028,0.77657,1.06191,-1.02573,0.87861,0.0067,1.3508,3.6637,0.30854,3.65,-6.58894,-2.03737,-3.6133,-3.81994,-3.83872,3.62104,1.190528,1.190528,2.003568828,2.114538137,1.866276655,82.34998483,164.0761147,101.360412,-11.52919774,12,10,8
ZnCuCo-Ni,154.4718493,1.20803,0.89074,0.99608,-0.93525,0.77551,-0.0034,0.5046,2.6265,0.46812,1.4367,-5.70223,-2.41769,-2.97753,-3.09397,-2.26146,3.632081,1.171205,1.171205,2.007968713,1.972018946,1.815982862,84.12791949,121.8013593,105.3209307,-42.29587916,12,11,9
